,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
0,P20_E20_S200_PosCL_H60,20,20,200,CL,3.50758,2.11182,16,2.8,1.25
1,P20_E20_S200_PosEL_H60,20,20,200,EL,7.96104,1.36243,16,2.8,2.84
2,P20_E20_S200_PosIL_H60,20,20,200,IL,5.71214,0.631041,16,2.8,2.04
3,P20_E20_S225_PosCL_H60,20,20,225,CL,3.48463,2.04183,16,2.8,1.24
4,P20_E20_S225_PosEL_H60,20,20,225,EL,7.72925,1.34536,16,2.8,2.76
5,P20_E20_S225_PosIL_H60,20,20,225,IL,5.54194,0.625832,16,2.8,1.98
6,P20_E20_S250_PosCL_H60,20,20,250,CL,3.46497,1.98059,16,2.8,1.24
7,P20_E20_S250_PosEL_H60,20,20,250,EL,7.52009,1.33277,16,2.8,2.69
8,P20_E20_S250_PosIL_H60,20,20,250,IL,5.38919,0.621051,16,2.8,1.92
9,P20_E20_S275_PosCL_H60,20,20,275,CL,3.44783,1.92639,16,2.8,1.23
10,P20_E20_S275_PosEL_H60,20,20,275,EL,7.33014,1.32107,16,2.8,2.62
11,P20_E20_S275_PosIL_H60,20,20,275,IL,5.25117,0.616639,16,2.8,1.88
12,P20_E20_S300_PosCL_H60,20,20,300,CL,3.43267,1.87795,16,2.8,1.23
13,P20_E20_S300_PosEL_H60,20,20,300,EL,7.15666,1.31015,16,2.8,2.56
14,P20_E20_S300_PosIL_H60,20,20,300,IL,5.12574,0.61362,16,2.8,1.83
15,P22.5_E20_S200_PosCL_H60,20,22.5,200,CL,3.77292,2.09482,16,2.8,1.35
16,P22.5_E20_S200_PosEL_H60,20,22.5,200,EL,8.59515,1.44114,16,2.8,3.07
17,P22.5_E20_S200_PosIL_H60,20,22.5,200,IL,6.26104,0.65972,16,2.8,2.24
18,P22.5_E20_S225_PosCL_H60,20,22.5,225,CL,3.74752,2.02131,16,2.8,1.34
19,P22.5_E20_S225_PosEL_H60,20,22.5,225,EL,8.33773,1.42543,16,2.8,2.98
20,P22.5_E20_S225_PosIL_H60,20,22.5,225,IL,6.06898,0.655796,16,2.8,2.17
21,P22.5_E20_S250_PosCL_H60,20,22.5,250,CL,3.72536,1.95705,16,2.8,1.33
22,P22.5_E20_S250_PosEL_H60,20,22.5,250,EL,8.10555,1.41093,16,2.8,2.89
23,P22.5_E20_S250_PosIL_H60,20,22.5,250,IL,5.8966,0.652192,16,2.8,2.11
24,P22.5_E20_S275_PosCL_H60,20,22.5,275,CL,3.70572,1.90022,16,2.8,1.32
25,P22.5_E20_S275_PosEL_H60,20,22.5,275,EL,7.89478,1.39746,16,2.8,2.82
26,P22.5_E20_S275_PosIL_H60,20,22.5,275,IL,5.74084,0.648861,16,2.8,2.05
27,P22.5_E20_S300_PosCL_H60,20,22.5,300,CL,3.68807,1.84948,16,2.8,1.32
28,P22.5_E20_S300_PosEL_H60,20,22.5,300,EL,7.70237,1.38491,16,2.8,2.75
29,P22.5_E20_S300_PosIL_H60,20,22.5,300,IL,5.59927,0.645763,16,2.8,2.00
30,P25_E20_S200_PosCL_H60,20,25,200,CL,4.00485,2.30515,16,2.8,1.43
31,P25_E20_S200_PosEL_H60,20,25,200,EL,9.10953,1.51554,16,2.8,3.25
32,P25_E20_S200_PosIL_H60,20,25,200,IL,6.77751,0.695478,16,2.8,2.42
33,P25_E20_S225_PosCL_H60,20,25,225,CL,3.97114,2.22601,16,2.8,1.42
34,P25_E20_S225_PosEL_H60,20,25,225,EL,8.829,1.49768,16,2.8,3.15
35,P25_E20_S225_PosIL_H60,20,25,225,IL,6.56458,0.690841,16,2.8,2.34
36,P25_E20_S250_PosCL_H60,20,25,250,CL,3.94157,2.15684,16,2.8,1.41
37,P25_E20_S250_PosEL_H60,20,25,250,EL,8.57608,1.48121,16,2.8,3.06
38,P25_E20_S250_PosIL_H60,20,25,250,IL,6.37345,0.686587,16,2.8,2.28
39,P25_E20_S275_PosCL_H60,20,25,275,CL,3.91526,2.09568,16,2.8,1.40
40,P25_E20_S275_PosEL_H60,20,25,275,EL,8.34659,1.46593,16,2.8,2.98
41,P25_E20_S275_PosIL_H60,20,25,275,IL,6.20074,0.682658,16,2.8,2.21
42,P25_E20_S300_PosCL_H60,20,25,300,CL,3.89326,2.04108,16,2.8,1.39
43,P25_E20_S300_PosEL_H60,20,25,300,EL,8.13716,1.4517,16,2.8,2.91
44,P25_E20_S300_PosIL_H60,20,25,300,IL,6.04376,0.679008,16,2.8,2.16
45,P27.5_E20_S200_PosCL_H60,20,27.5,200,CL,4.27555,2.47401,16,2.8,1.53
46,P27.5_E20_S200_PosEL_H60,20,27.5,200,EL,9.58609,1.57565,16,2.8,3.42
47,P27.5_E20_S200_PosIL_H60,20,27.5,200,IL,7.22765,0.718947,16,2.8,2.58
48,P27.5_E20_S225_PosCL_H60,20,27.5,225,CL,4.24057,2.38629,16,2.8,1.51
49,P27.5_E20_S225_PosEL_H60,20,27.5,225,EL,9.28416,1.55596,16,2.8,3.32
50,P27.5_E20_S225_PosIL_H60,20,27.5,225,IL,6.99648,0.71382,16,2.8,2.50
51,P27.5_E20_S250_PosCL_H60,20,27.5,250,CL,4.20942,2.30965,16,2.8,1.50
52,P27.5_E20_S250_PosEL_H60,20,27.5,250,EL,9.01204,1.53782,16,2.8,3.22
53,P27.5_E20_S250_PosIL_H60,20,27.5,250,IL,6.789,0.709116,16,2.8,2.42
54,P27.5_E20_S275_PosCL_H60,20,27.5,275,CL,4.18132,2.24193,16,2.8,1.49
55,P27.5_E20_S275_PosEL_H60,20,27.5,275,EL,8.76522,1.52102,16,2.8,3.13
56,P27.5_E20_S275_PosIL_H60,20,27.5,275,IL,6.60157,0.704772,16,2.8,2.36
57,P27.5_E20_S300_PosCL_H60,20,27.5,300,CL,4.15567,2.1815,16,2.8,1.48
58,P27.5_E20_S300_PosEL_H60,20,27.5,300,EL,8.54006,1.50538,16,2.8,3.05
59,P27.5_E20_S300_PosIL_H60,20,27.5,300,IL,6.43123,0.700737,16,2.8,2.30
60,P30_E20_S200_PosCL_H60,20,30,200,CL,4.5431,2.43007,16,2.8,1.62
61,P30_E20_S200_PosEL_H60,20,30,200,EL,10.0322,1.65557,16,2.8,3.58
62,P30_E20_S200_PosIL_H60,20,30,200,IL,7.73657,0.755061,16,2.8,2.76
63,P30_E20_S225_PosCL_H60,20,30,225,CL,4.49913,2.3446,16,2.8,1.61
64,P30_E20_S225_PosEL_H60,20,30,225,EL,9.70652,1.63337,16,2.8,3.47
65,P30_E20_S225_PosIL_H60,20,30,225,IL,7.48358,0.749154,16,2.8,2.67
66,P30_E20_S250_PosCL_H60,20,30,250,CL,4.45991,2.26996,16,2.8,1.59
67,P30_E20_S250_PosEL_H60,20,30,250,EL,9.4131,1.61294,16,2.8,3.36
68,P30_E20_S250_PosIL_H60,20,30,250,IL,7.25654,0.743735,16,2.8,2.59
69,P30_E20_S275_PosCL_H60,20,30,275,CL,4.4245,2.204,16,2.8,1.58
70,P30_E20_S275_PosEL_H60,20,30,275,EL,9.14709,1.59404,16,2.8,3.27
71,P30_E20_S275_PosIL_H60,20,30,275,IL,7.05144,0.738731,16,2.8,2.52
72,P30_E20_S300_PosCL_H60,20,30,300,CL,4.39309,2.14515,16,2.8,1.57
73,P30_E20_S300_PosEL_H60,20,30,300,EL,8.90454,1.57646,16,2.8,3.18
74,P30_E20_S300_PosIL_H60,20,30,300,IL,6.86504,0.734082,16,2.8,2.45
75,P20_E25_S200_PosCL_H60,25,20,200,CL,3.55407,2.24847,25,3.5,1.02
76,P20_E25_S200_PosEL_H60,25,20,200,EL,8.39183,1.39438,25,3.5,2.40
77,P20_E25_S200_PosIL_H60,25,20,200,IL,6.03091,0.640463,25,3.5,1.72
78,P20_E25_S225_PosCL_H60,25,20,225,CL,3.52912,2.17588,25,3.5,1.01
79,P20_E25_S225_PosEL_H60,25,20,225,EL,8.16712,1.37782,25,3.5,2.33
80,P20_E25_S225_PosIL_H60,25,20,225,IL,5.8642,0.635567,25,3.5,1.68
81,P20_E25_S250_PosCL_H60,25,20,250,CL,3.50768,2.11202,25,3.5,1.00
82,P20_E25_S250_PosEL_H60,25,20,250,EL,7.96242,1.36246,25,3.5,2.27
83,P20_E25_S250_PosIL_H60,25,20,250,IL,5.71314,0.63104,25,3.5,1.63
84,P20_E25_S275_PosCL_H60,25,20,275,CL,3.48902,2.05526,25,3.5,1.00
85,P20_E25_S275_PosEL_H60,25,20,275,EL,7.77496,1.34814,25,3.5,2.22
86,P20_E25_S275_PosIL_H60,25,20,275,IL,5.57542,0.626836,25,3.5,1.59
87,P20_E25_S300_PosCL_H60,25,20,300,CL,3.47258,2.00434,25,3.5,0.99
88,P20_E25_S300_PosEL_H60,25,20,300,EL,7.60248,1.33773,25,3.5,2.17
89,P20_E25_S300_PosIL_H60,25,20,300,IL,5.44925,0.622914,25,3.5,1.56
90,P22.5_E25_S200_PosCL_H60,25,22.5,200,CL,3.82314,2.23852,25,3.5,1.09
91,P22.5_E25_S200_PosEL_H60,25,22.5,200,EL,9.07384,1.46935,25,3.5,2.59
92,P22.5_E25_S200_PosIL_H60,25,22.5,200,IL,6.62057,0.668353,25,3.5,1.89
93,P22.5_E25_S225_PosCL_H60,25,22.5,225,CL,3.79641,2.16216,25,3.5,1.08
94,P22.5_E25_S225_PosEL_H60,25,22.5,225,EL,8.8241,1.45475,25,3.5,2.52
95,P22.5_E25_S225_PosIL_H60,25,22.5,225,IL,6.43261,0.66313,25,3.5,1.84
96,P22.5_E25_S250_PosCL_H60,25,22.5,250,CL,3.77308,2.09503,25,3.5,1.08
97,P22.5_E25_S250_PosEL_H60,25,22.5,250,EL,8.59668,1.44119,25,3.5,2.46
98,P22.5_E25_S250_PosIL_H60,25,22.5,250,IL,6.26216,0.65972,25,3.5,1.79
99,P22.5_E25_S275_PosCL_H60,25,22.5,275,CL,3.75247,2.0354,25,3.5,1.07
100,P22.5_E25_S275_PosEL_H60,25,22.5,275,EL,8.38848,1.42851,25,3.5,2.40
101,P22.5_E25_S275_PosIL_H60,25,22.5,275,IL,6.10675,0.656553,25,3.5,1.74
102,P22.5_E25_S300_PosCL_H60,25,22.5,300,CL,3.73403,1.98195,25,3.5,1.07
103,P22.5_E25_S300_PosEL_H60,25,22.5,300,EL,8.19699,1.41664,25,3.5,2.34
104,P22.5_E25_S300_PosIL_H60,25,22.5,300,IL,5.96438,0.653598,25,3.5,1.70
105,P25_E25_S200_PosCL_H60,25,25,200,CL,4.07084,2.45992,25,3.5,1.16
106,P25_E25_S200_PosEL_H60,25,25,200,EL,9.63148,1.54766,25,3.5,2.75
107,P25_E25_S200_PosIL_H60,25,25,200,IL,7.17606,0.70388,25,3.5,2.05
108,P25_E25_S225_PosCL_H60,25,25,225,CL,4.03583,2.37766,25,3.5,1.15
109,P25_E25_S225_PosEL_H60,25,25,225,EL,9.35911,1.53103,25,3.5,2.67
110,P25_E25_S225_PosIL_H60,25,25,225,IL,6.96771,0.69951,25,3.5,1.99
111,P25_E25_S250_PosCL_H60,25,25,250,CL,4.00507,2.30538,25,3.5,1.14
112,P25_E25_S250_PosEL_H60,25,25,250,EL,9.11118,1.51559,25,3.5,2.60
113,P25_E25_S250_PosIL_H60,25,25,250,IL,6.77875,0.695478,25,3.5,1.94
114,P25_E25_S275_PosCL_H60,25,25,275,CL,3.97773,2.24118,25,3.5,1.14
115,P25_E25_S275_PosEL_H60,25,25,275,EL,8.88429,1.50118,25,3.5,2.54
116,P25_E25_S275_PosIL_H60,25,25,275,IL,6.60645,0.691736,25,3.5,1.89
117,P25_E25_S300_PosCL_H60,25,25,300,CL,3.95316,2.18364,25,3.5,1.13
118,P25_E25_S300_PosEL_H60,25,25,300,EL,8.67567,1.48769,25,3.5,2.48
119,P25_E25_S300_PosIL_H60,25,25,300,IL,6.4486,0.688246,25,3.5,1.84
120,P27.5_E25_S200_PosCL_H60,25,27.5,200,CL,4.34262,2.64571,25,3.5,1.24
121,P27.5_E25_S200_PosEL_H60,25,27.5,200,EL,10.1481,1.61398,25,3.5,2.90
122,P27.5_E25_S200_PosIL_H60,25,27.5,200,IL,7.66044,0.731572,25,3.5,2.19
123,P27.5_E25_S225_PosCL_H60,25,27.5,225,CL,4.3073,2.55444,25,3.5,1.23
124,P27.5_E25_S225_PosEL_H60,25,27.5,225,EL,9.8548,1.59274,25,3.5,2.82
125,P27.5_E25_S225_PosIL_H60,25,27.5,225,IL,7.43417,0.724891,25,3.5,2.12
126,P27.5_E25_S250_PosCL_H60,25,27.5,250,CL,4.27583,2.47427,25,3.5,1.22
127,P27.5_E25_S250_PosEL_H60,25,27.5,250,EL,9.58786,1.5757,25,3.5,2.74
128,P27.5_E25_S250_PosIL_H60,25,27.5,250,IL,7.22899,0.718946,25,3.5,2.07
129,P27.5_E25_S275_PosCL_H60,25,27.5,275,CL,4.2475,2.4031,25,3.5,1.21
130,P27.5_E25_S275_PosEL_H60,25,27.5,275,EL,9.34366,1.55982,25,3.5,2.67
131,P27.5_E25_S275_PosIL_H60,25,27.5,275,IL,7.04193,0.714808,25,3.5,2.01
132,P27.5_E25_S300_PosCL_H60,25,27.5,300,CL,4.22173,2.33935,25,3.5,1.21
133,P27.5_E25_S300_PosEL_H60,25,27.5,300,EL,9.11918,1.54496,25,3.5,2.61
134,P27.5_E25_S300_PosIL_H60,25,27.5,300,IL,6.87057,0.71095,25,3.5,1.96
135,P30_E25_S200_PosCL_H60,25,30,200,CL,4.62703,2.5974,25,3.5,1.32
136,P30_E25_S200_PosEL_H60,25,30,200,EL,10.639,1.6956,25,3.5,3.04
137,P30_E25_S200_PosIL_H60,25,30,200,IL,8.21313,0.765768,25,3.5,2.35
138,P30_E25_S225_PosCL_H60,25,30,225,CL,4.58288,2.50843,25,3.5,1.31
139,P30_E25_S225_PosEL_H60,25,30,225,EL,10.3223,1.67486,25,3.5,2.95
140,P30_E25_S225_PosIL_H60,25,30,225,IL,7.96259,0.760199,25,3.5,2.28
141,P30_E25_S250_PosCL_H60,25,30,250,CL,4.54344,2.43031,25,3.5,1.30
142,P30_E25_S250_PosEL_H60,25,30,250,EL,10.0342,1.65563,25,3.5,2.87
143,P30_E25_S250_PosIL_H60,25,30,250,IL,7.73804,0.75506,25,3.5,2.21
144,P30_E25_S275_PosCL_H60,25,30,275,CL,4.50783,2.36097,25,3.5,1.29
145,P30_E25_S275_PosEL_H60,25,30,275,EL,9.77069,1.63772,25,3.5,2.79
146,P30_E25_S275_PosIL_H60,25,30,275,IL,7.53333,0.750292,25,3.5,2.15
147,P30_E25_S300_PosCL_H60,25,30,300,CL,4.4754,2.29887,25,3.5,1.28
148,P30_E25_S300_PosEL_H60,25,30,300,EL,9.52861,1.62097,25,3.5,2.72
